who,what,when,where,sentences
Paul,beef,last month,at the school,Paul ate beef last month at the school.
John,soup,last Monday,in the station,John ate soup last Monday in the station.
Lucas,spaghetti,last Sunday,in the park,Lucas ate spaghetti last Sunday in the park.
Emily,carbonara,yesterday,in the park,Emily ate carbonara yesterday in the park.
Richard,salad,this weekend,at the mall,Richard ate salad this weekend at the mall.
Julia,ravioli,recently,on the rooftop,Julia ate ravioli recently on the rooftop.
Olivia,toast,last Friday,in the garden,Olivia ate toast last Friday in the garden.
Sam,spaghetti,last Wednesday,at the restaurant,Sam ate spaghetti last Wednesday at the restaurant.
Ben,banana,yesterday,at the cafe,Ben ate banana yesterday at the cafe.
Michael,salad,this evening,in the office,Michael ate salad this evening in the office.
Lucas,pasta,yesterday,in the kitchen,Lucas ate pasta yesterday in the kitchen.
Daniel,cheese,last Wednesday,at the school,Daniel ate cheese last Wednesday at the school.
John,hamburger,last fall,on the rooftop,John ate hamburger last fall on the rooftop.
Hannah,tacos,last Monday,in the station,Hannah ate tacos last Monday in the station.
James,rice,this afternoon,in the garden,James ate rice this afternoon in the garden.
Sophie,lasagna,one hour ago,at the restaurant,Sophie ate lasagna one hour ago at the restaurant.
Olivia,lasagna,one hour ago,in the office,Olivia ate lasagna one hour ago in the office.
Charles,soup,lately,at the school,Charles ate soup lately at the school.
Lauren,sushi,this afternoon,at the mall,Lauren ate sushi this afternoon at the mall.
Emily,toast,last week,in the park,Emily ate toast last week in the park.
Claire,cake,last Monday,at the mall,Claire ate cake last Monday at the mall.
David,noodle,last Wednesday,at the cafe,David ate noodle last Wednesday at the cafe.
James,hamburger,last Saturday,at the restaurant,James ate hamburger last Saturday at the restaurant.
Hannah,wok,last spring,at the school,Hannah ate wok last spring at the school.
Elizabeth,spaghetti,this afternoon,at the school,Elizabeth ate spaghetti this afternoon at the school.
Emily,pizza,last week,in the garden,Emily ate pizza last week in the garden.
Linda,banana,last Tuesday,at the mall,Linda ate banana last Tuesday at the mall.
Linda,bread,last summer,at the school,Linda ate bread last summer at the school.
Anna,steak,yesterday,at the school,Anna ate steak yesterday at the school.
Paul,cheese,lately,on the rooftop,Paul ate cheese lately on the rooftop.
Mary,soup,last Friday,on the rooftop,Mary ate soup last Friday on the rooftop.
Mark,rice,recently,in the park,Mark ate rice recently in the park.
Julia,hamburger,last Saturday,in the station,Julia ate hamburger last Saturday in the station.
Jennifer,fish,this afternoon,at the school,Jennifer ate fish this afternoon at the school.
Linda,sandwich,recently,at the restaurant,Linda ate sandwich recently at the restaurant.
Hannah,potatoes,last Monday,at the school,Hannah ate potatoes last Monday at the school.
Karen,toast,lately,in the kitchen,Karen ate toast lately in the kitchen.
Robert,pizza,last year,in the kitchen,Robert ate pizza last year in the kitchen.
Karen,nachos,recently,at the cafe,Karen ate nachos recently at the cafe.
Lisa,ravioli,last month,at the mall,Lisa ate ravioli last month at the mall.
Emma,toast,last Thursday,at the school,Emma ate toast last Thursday at the school.
Sophie,hot dog,last Wednesday,in the station,Sophie ate hot dog last Wednesday in the station.
Sarah,chicken wings,last month,at the mall,Sarah ate chicken wings last month at the mall.
Lisa,cake,last Monday,in the garden,Lisa ate cake last Monday in the garden.
Emma,bagel,this evening,in the park,Emma ate bagel this evening in the park.
Mary,banana,last spring,at the restaurant,Mary ate banana last spring at the restaurant.
Lucas,omelette,last Friday,in the garden,Lucas ate omelette last Friday in the garden.
Ethan,salad,yesterday,on the rooftop,Ethan ate salad yesterday on the rooftop.
Jason,cheese,last Wednesday,in the station,Jason ate cheese last Wednesday in the station.
John,cake,this evening,in the garden,John ate cake this evening in the garden.
Sophie,bread,last Saturday,in the station,Sophie ate bread last Saturday in the station.
Sophie,lasagna,one hour ago,in the kitchen,Sophie ate lasagna one hour ago in the kitchen.
Richard,fish,lately,in the station,Richard ate fish lately in the station.
Sam,falafel,two hours ago,at the mall,Sam ate falafel two hours ago at the mall.
Joseph,pancakes,two hours ago,in the office,Joseph ate pancakes two hours ago in the office.
Emma,rice,recently,at the restaurant,Emma ate rice recently at the restaurant.
Ben,rice,last month,at the cafe,Ben ate rice last month at the cafe.
Joseph,carbonara,last Monday,in the garden,Joseph ate carbonara last Monday in the garden.
Daniel,hot dog,last Tuesday,on the rooftop,Daniel ate hot dog last Tuesday on the rooftop.
Emma,pizza,last fall,at the restaurant,Emma ate pizza last fall at the restaurant.
Ben,apple pie,last fall,at the mall,Ben ate apple pie last fall at the mall.
Sarah,nachos,last Wednesday,at the restaurant,Sarah ate nachos last Wednesday at the restaurant.
Elizabeth,carbonara,last year,in the kitchen,Elizabeth ate carbonara last year in the kitchen.
Sophie,bread,this weekend,in the station,Sophie ate bread this weekend in the station.
Jennifer,hamburger,last night,at the school,Jennifer ate hamburger last night at the school.
William,wok,this evening,in the park,William ate wok this evening in the park.
Linda,pasta,last spring,in the park,Linda ate pasta last spring in the park.
Anna,salad,recently,in the station,Anna ate salad recently in the station.
Olivia,carbonara,last fall,in the office,Olivia ate carbonara last fall in the office.
Robert,soup,this afternoon,at the restaurant,Robert ate soup this afternoon at the restaurant.
Emma,tacos,last week,in the garden,Emma ate tacos last week in the garden.
Alice,pancakes,lately,in the garden,Alice ate pancakes lately in the garden.
Sophie,falafel,last Monday,at the school,Sophie ate falafel last Monday at the school.
Claire,burrito,last Saturday,in the park,Claire ate burrito last Saturday in the park.
Elizabeth,salad,two hours ago,on the rooftop,Elizabeth ate salad two hours ago on the rooftop.
Jessica,salad,this morning,in the office,Jessica ate salad this morning in the office.
David,risotto,last Friday,at the cafe,David ate risotto last Friday at the cafe.
Emily,cake,last Wednesday,at the mall,Emily ate cake last Wednesday at the mall.
William,nachos,last year,in the garden,William ate nachos last year in the garden.
Robert,wok,today,in the station,Robert ate wok today in the station.
Linda,wok,last year,in the kitchen,Linda ate wok last year in the kitchen.
Claire,lasagna,two hours ago,in the office,Claire ate lasagna two hours ago in the office.
Mary,potatoes,this morning,at the school,Mary ate potatoes this morning at the school.
Joseph,risotto,last Monday,in the park,Joseph ate risotto last Monday in the park.
Lisa,banana,last Monday,in the station,Lisa ate banana last Monday in the station.
Chris,biscuits,last Monday,in the kitchen,Chris ate biscuits last Monday in the kitchen.
Paul,fish,last Saturday,in the station,Paul ate fish last Saturday in the station.
Richard,banana,yesterday,in the kitchen,Richard ate banana yesterday in the kitchen.
Lucas,chicken wings,this afternoon,on the rooftop,Lucas ate chicken wings this afternoon on the rooftop.
Alice,carbonara,last Monday,at the cafe,Alice ate carbonara last Monday at the cafe.
Richard,ravioli,last fall,at the school,Richard ate ravioli last fall at the school.
Charles,lasagna,last week,in the park,Charles ate lasagna last week in the park.
Daniel,nachos,this weekend,in the garden,Daniel ate nachos this weekend in the garden.
Sarah,pizza,last Friday,at the school,Sarah ate pizza last Friday at the school.
Emma,carbonara,last Thursday,in the garden,Emma ate carbonara last Thursday in the garden.
Julia,risotto,last night,at the school,Julia ate risotto last night at the school.
Paul,bagel,last fall,at the cafe,Paul ate bagel last fall at the cafe.
Ben,waffles,last summer,in the station,Ben ate waffles last summer in the station.
Lisa,risotto,last month,in the park,Lisa ate risotto last month in the park.
Julia,cake,last Thursday,in the garden,Julia ate cake last Thursday in the garden.
Lisa,burrito,last fall,at the school,Lisa ate burrito last fall at the school.
John,doughnuts,this evening,in the park,John ate doughnuts this evening in the park.
Michael,beef,today,at the cafe,Michael ate beef today at the cafe.
Matthew,fried chicken,this weekend,in the station,Matthew ate fried chicken this weekend in the station.
Rachel,sushi,last week,on the rooftop,Rachel ate sushi last week on the rooftop.
Emma,omelette,this evening,in the station,Emma ate omelette this evening in the station.
William,falafel,last month,in the kitchen,William ate falafel last month in the kitchen.
Matthew,beef,yesterday,in the office,Matthew ate beef yesterday in the office.
Michael,sandwich,last Friday,in the office,Michael ate sandwich last Friday in the office.
Jason,rice,last fall,in the park,Jason ate rice last fall in the park.
James,toast,last summer,on the rooftop,James ate toast last summer on the rooftop.
David,hot dog,two hours ago,at the school,David ate hot dog two hours ago at the school.
Olivia,lasagna,last summer,at the restaurant,Olivia ate lasagna last summer at the restaurant.
Lucas,salad,last night,in the garden,Lucas ate salad last night in the garden.
Emily,potatoes,last month,in the kitchen,Emily ate potatoes last month in the kitchen.
James,potatoes,today,in the garden,James ate potatoes today in the garden.
Richard,steak,this weekend,at the restaurant,Richard ate steak this weekend at the restaurant.
Matthew,biscuits,last summer,in the park,Matthew ate biscuits last summer in the park.
Joseph,soup,last year,at the mall,Joseph ate soup last year at the mall.
Ben,banana,last summer,at the cafe,Ben ate banana last summer at the cafe.
James,bread,last Monday,in the station,James ate bread last Monday in the station.
Daniel,potatoes,lately,on the rooftop,Daniel ate potatoes lately on the rooftop.
Mary,biscuits,last week,in the garden,Mary ate biscuits last week in the garden.
Elizabeth,toast,last year,at the school,Elizabeth ate toast last year at the school.
Elizabeth,burrito,this morning,at the school,Elizabeth ate burrito this morning at the school.
Paul,waffles,last Wednesday,in the office,Paul ate waffles last Wednesday in the office.
Sam,noodle,one hour ago,in the office,Sam ate noodle one hour ago in the office.
Ethan,salad,last spring,in the kitchen,Ethan ate salad last spring in the kitchen.
Daniel,hot dog,this morning,in the park,Daniel ate hot dog this morning in the park.
Claire,risotto,last spring,in the garden,Claire ate risotto last spring in the garden.
Emily,hamburger,one hour ago,in the garden,Emily ate hamburger one hour ago in the garden.
William,biscuits,recently,at the cafe,William ate biscuits recently at the cafe.
Joseph,doughnuts,this afternoon,at the cafe,Joseph ate doughnuts this afternoon at the cafe.
Robert,cake,this evening,in the kitchen,Robert ate cake this evening in the kitchen.
Jason,ravioli,one hour ago,in the kitchen,Jason ate ravioli one hour ago in the kitchen.
Alice,doughnuts,last winter,at the cafe,Alice ate doughnuts last winter at the cafe.
Olivia,cheese,last week,in the station,Olivia ate cheese last week in the station.
Emma,hamburger,last Wednesday,at the mall,Emma ate hamburger last Wednesday at the mall.
Matthew,spaghetti,last year,at the mall,Matthew ate spaghetti last year at the mall.
Elizabeth,spaghetti,last Thursday,at the restaurant,Elizabeth ate spaghetti last Thursday at the restaurant.
Paul,hot dog,last month,in the garden,Paul ate hot dog last month in the garden.
Claire,waffles,last Friday,in the kitchen,Claire ate waffles last Friday in the kitchen.
Olivia,fried chicken,last winter,at the cafe,Olivia ate fried chicken last winter at the cafe.
Linda,steak,last Monday,at the cafe,Linda ate steak last Monday at the cafe.
Chris,pancakes,last Sunday,at the mall,Chris ate pancakes last Sunday at the mall.
Daniel,falafel,last night,in the kitchen,Daniel ate falafel last night in the kitchen.
Rachel,pasta,last winter,in the office,Rachel ate pasta last winter in the office.
Alice,pancakes,last fall,on the rooftop,Alice ate pancakes last fall on the rooftop.
Hannah,chicken wings,lately,at the school,Hannah ate chicken wings lately at the school.
Joseph,sandwich,last year,on the rooftop,Joseph ate sandwich last year on the rooftop.
Charles,steak,yesterday,at the restaurant,Charles ate steak yesterday at the restaurant.
David,bread,recently,at the mall,David ate bread recently at the mall.
Rachel,hamburger,last night,in the park,Rachel ate hamburger last night in the park.
Jessica,hot dog,last Sunday,at the restaurant,Jessica ate hot dog last Sunday at the restaurant.
Ben,apple pie,yesterday,in the office,Ben ate apple pie yesterday in the office.
Daniel,soup,this afternoon,at the restaurant,Daniel ate soup this afternoon at the restaurant.
Karen,beef,last Wednesday,at the mall,Karen ate beef last Wednesday at the mall.
Alice,sushi,yesterday,in the park,Alice ate sushi yesterday in the park.
Sophie,lasagna,last month,in the park,Sophie ate lasagna last month in the park.
Olivia,carbonara,this morning,in the station,Olivia ate carbonara this morning in the station.
Michael,sushi,recently,in the garden,Michael ate sushi recently in the garden.
Julia,bread,one hour ago,on the rooftop,Julia ate bread one hour ago on the rooftop.
Michael,sandwich,last month,at the mall,Michael ate sandwich last month at the mall.
Matthew,toast,yesterday,in the kitchen,Matthew ate toast yesterday in the kitchen.
Rachel,wok,last year,in the office,Rachel ate wok last year in the office.
Lisa,apple pie,last night,in the garden,Lisa ate apple pie last night in the garden.
Robert,waffles,last Friday,at the mall,Robert ate waffles last Friday at the mall.
David,waffles,this evening,at the school,David ate waffles this evening at the school.
Daniel,pancakes,recently,in the station,Daniel ate pancakes recently in the station.
Jennifer,burrito,last Tuesday,in the park,Jennifer ate burrito last Tuesday in the park.
Sophie,biscuits,today,at the restaurant,Sophie ate biscuits today at the restaurant.
Charles,falafel,this afternoon,at the school,Charles ate falafel this afternoon at the school.
Sam,burrito,one hour ago,in the station,Sam ate burrito one hour ago in the station.
Ethan,fish,one hour ago,in the kitchen,Ethan ate fish one hour ago in the kitchen.
Jennifer,carbonara,today,at the restaurant,Jennifer ate carbonara today at the restaurant.
Sophie,noodle,last year,in the station,Sophie ate noodle last year in the station.
Emily,cake,lately,in the kitchen,Emily ate cake lately in the kitchen.
Sophie,curry,last summer,at the mall,Sophie ate curry last summer at the mall.
Robert,carbonara,last Friday,in the station,Robert ate carbonara last Friday in the station.
Linda,chicken wings,one hour ago,in the garden,Linda ate chicken wings one hour ago in the garden.
Robert,curry,two hours ago,in the park,Robert ate curry two hours ago in the park.
Lauren,beef,last winter,in the kitchen,Lauren ate beef last winter in the kitchen.
Thomas,noodle,last spring,in the garden,Thomas ate noodle last spring in the garden.
William,pancakes,last spring,in the station,William ate pancakes last spring in the station.
Elizabeth,spaghetti,last summer,on the rooftop,Elizabeth ate spaghetti last summer on the rooftop.
John,rice,one hour ago,at the restaurant,John ate rice one hour ago at the restaurant.
Michael,omelette,last spring,in the station,Michael ate omelette last spring in the station.
Rachel,doughnuts,yesterday,on the rooftop,Rachel ate doughnuts yesterday on the rooftop.
Michael,carbonara,last night,on the rooftop,Michael ate carbonara last night on the rooftop.
Claire,sandwich,lately,at the school,Claire ate sandwich lately at the school.
William,potatoes,two hours ago,in the garden,William ate potatoes two hours ago in the garden.
Ethan,soup,last Saturday,on the rooftop,Ethan ate soup last Saturday on the rooftop.
Daniel,beef,last summer,in the park,Daniel ate beef last summer in the park.
Elizabeth,risotto,one hour ago,in the office,Elizabeth ate risotto one hour ago in the office.
Julia,fried chicken,recently,at the restaurant,Julia ate fried chicken recently at the restaurant.
Charles,nachos,last Friday,in the garden,Charles ate nachos last Friday in the garden.
Emma,pancakes,last fall,on the rooftop,Emma ate pancakes last fall on the rooftop.
Jason,noodle,today,at the school,Jason ate noodle today at the school.
Paul,ravioli,last Thursday,at the restaurant,Paul ate ravioli last Thursday at the restaurant.
James,banana,last night,in the park,James ate banana last night in the park.
Joseph,waffles,last month,in the station,Joseph ate waffles last month in the station.
Julia,curry,one hour ago,at the restaurant,Julia ate curry one hour ago at the restaurant.
Kimberly,bread,last month,at the cafe,Kimberly ate bread last month at the cafe.
Karen,salad,today,at the mall,Karen ate salad today at the mall.
Matthew,lasagna,today,in the kitchen,Matthew ate lasagna today in the kitchen.
Daniel,noodle,last Friday,in the garden,Daniel ate noodle last Friday in the garden.
Jason,omelette,yesterday,at the mall,Jason ate omelette yesterday at the mall.
Matthew,fish,last summer,in the garden,Matthew ate fish last summer in the garden.
Richard,nachos,last Tuesday,in the station,Richard ate nachos last Tuesday in the station.
Paul,lasagna,lately,on the rooftop,Paul ate lasagna lately on the rooftop.
Sarah,hamburger,last year,at the mall,Sarah ate hamburger last year at the mall.
Karen,risotto,yesterday,in the park,Karen ate risotto yesterday in the park.
Claire,chicken wings,today,in the station,Claire ate chicken wings today in the station.
Rachel,salad,last Friday,in the park,Rachel ate salad last Friday in the park.
William,cheese,last night,in the park,William ate cheese last night in the park.
William,banana,last Tuesday,in the office,William ate banana last Tuesday in the office.
James,nachos,last fall,at the mall,James ate nachos last fall at the mall.
Matthew,chicken wings,last week,in the station,Matthew ate chicken wings last week in the station.
Lauren,pizza,this weekend,at the restaurant,Lauren ate pizza this weekend at the restaurant.
Sarah,falafel,this evening,in the garden,Sarah ate falafel this evening in the garden.
Mark,burrito,last Friday,at the school,Mark ate burrito last Friday at the school.
Kimberly,bagel,one hour ago,at the mall,Kimberly ate bagel one hour ago at the mall.
Alice,doughnuts,recently,at the mall,Alice ate doughnuts recently at the mall.
Hannah,pasta,last Monday,at the restaurant,Hannah ate pasta last Monday at the restaurant.
Chris,bagel,last summer,at the school,Chris ate bagel last summer at the school.
Anna,biscuits,last summer,in the station,Anna ate biscuits last summer in the station.
Sarah,sandwich,this evening,at the school,Sarah ate sandwich this evening at the school.
Ethan,banana,recently,at the cafe,Ethan ate banana recently at the cafe.
Jessica,toast,today,in the kitchen,Jessica ate toast today in the kitchen.
Mark,hot dog,last year,in the park,Mark ate hot dog last year in the park.
Mary,sushi,this weekend,on the rooftop,Mary ate sushi this weekend on the rooftop.
Hannah,potatoes,last spring,in the station,Hannah ate potatoes last spring in the station.
Kimberly,burrito,one hour ago,at the restaurant,Kimberly ate burrito one hour ago at the restaurant.
Jennifer,steak,last night,in the garden,Jennifer ate steak last night in the garden.
Jessica,spaghetti,last month,in the garden,Jessica ate spaghetti last month in the garden.
Olivia,fried chicken,last Friday,on the rooftop,Olivia ate fried chicken last Friday on the rooftop.
Lucas,bread,recently,at the cafe,Lucas ate bread recently at the cafe.
Ben,omelette,last winter,at the mall,Ben ate omelette last winter at the mall.
Ben,wok,this morning,in the station,Ben ate wok this morning in the station.
Daniel,omelette,last Thursday,at the mall,Daniel ate omelette last Thursday at the mall.
Jason,risotto,recently,at the school,Jason ate risotto recently at the school.
William,pizza,last Monday,at the mall,William ate pizza last Monday at the mall.
Thomas,potatoes,last Saturday,at the restaurant,Thomas ate potatoes last Saturday at the restaurant.
Julia,burrito,this evening,at the cafe,Julia ate burrito this evening at the cafe.
Olivia,biscuits,last Tuesday,in the garden,Olivia ate biscuits last Tuesday in the garden.
Paul,ravioli,recently,at the restaurant,Paul ate ravioli recently at the restaurant.
Ben,wok,last Monday,in the park,Ben ate wok last Monday in the park.
Anna,fried chicken,recently,at the school,Anna ate fried chicken recently at the school.
Chris,spaghetti,today,in the garden,Chris ate spaghetti today in the garden.
Emily,sandwich,this evening,in the station,Emily ate sandwich this evening in the station.
Karen,tacos,last Thursday,in the kitchen,Karen ate tacos last Thursday in the kitchen.
Richard,pizza,last winter,at the school,Richard ate pizza last winter at the school.
Ethan,cheese,last Tuesday,in the station,Ethan ate cheese last Tuesday in the station.
Robert,spaghetti,this morning,in the office,Robert ate spaghetti this morning in the office.
Jessica,omelette,yesterday,at the school,Jessica ate omelette yesterday at the school.
Joseph,pancakes,last Saturday,at the cafe,Joseph ate pancakes last Saturday at the cafe.
Anna,bagel,last Tuesday,in the park,Anna ate bagel last Tuesday in the park.
Lisa,burrito,last Thursday,in the station,Lisa ate burrito last Thursday in the station.
Ben,banana,last Monday,at the restaurant,Ben ate banana last Monday at the restaurant.
Mark,nachos,last Wednesday,at the school,Mark ate nachos last Wednesday at the school.
Rachel,hot dog,last year,at the mall,Rachel ate hot dog last year at the mall.
Karen,rice,last Wednesday,at the school,Karen ate rice last Wednesday at the school.
Sarah,bread,last Friday,at the mall,Sarah ate bread last Friday at the mall.
David,burrito,one hour ago,in the office,David ate burrito one hour ago in the office.
Joseph,burrito,this weekend,at the cafe,Joseph ate burrito this weekend at the cafe.
Joseph,soup,last Monday,at the school,Joseph ate soup last Monday at the school.
Ben,burrito,one hour ago,at the school,Ben ate burrito one hour ago at the school.
Alice,waffles,last Tuesday,in the kitchen,Alice ate waffles last Tuesday in the kitchen.
Hannah,spaghetti,last summer,in the park,Hannah ate spaghetti last summer in the park.
Thomas,sandwich,last month,in the station,Thomas ate sandwich last month in the station.
Mary,lasagna,last Saturday,on the rooftop,Mary ate lasagna last Saturday on the rooftop.
Paul,lasagna,two hours ago,in the office,Paul ate lasagna two hours ago in the office.
Matthew,rice,two hours ago,in the park,Matthew ate rice two hours ago in the park.
Michael,bagel,this afternoon,in the garden,Michael ate bagel this afternoon in the garden.
Claire,lasagna,last spring,at the restaurant,Claire ate lasagna last spring at the restaurant.
Ethan,burrito,this afternoon,at the school,Ethan ate burrito this afternoon at the school.
Jessica,hot dog,last night,in the garden,Jessica ate hot dog last night in the garden.
Linda,curry,last year,in the station,Linda ate curry last year in the station.
Richard,noodle,last Thursday,in the park,Richard ate noodle last Thursday in the park.
Olivia,fish,last summer,in the station,Olivia ate fish last summer in the station.
Lisa,potatoes,last week,at the cafe,Lisa ate potatoes last week at the cafe.
Ben,pancakes,lately,at the restaurant,Ben ate pancakes lately at the restaurant.
Charles,spaghetti,last Thursday,in the garden,Charles ate spaghetti last Thursday in the garden.
Jason,toast,last Sunday,in the kitchen,Jason ate toast last Sunday in the kitchen.
Jason,waffles,last Tuesday,at the mall,Jason ate waffles last Tuesday at the mall.
Karen,pizza,one hour ago,in the office,Karen ate pizza one hour ago in the office.
Sam,omelette,last Monday,in the kitchen,Sam ate omelette last Monday in the kitchen.
William,hamburger,this evening,in the station,William ate hamburger this evening in the station.
Rachel,apple pie,last winter,in the office,Rachel ate apple pie last winter in the office.
Mark,noodle,last winter,in the office,Mark ate noodle last winter in the office.
Charles,banana,last summer,in the office,Charles ate banana last summer in the office.
James,fried chicken,this morning,at the school,James ate fried chicken this morning at the school.
Julia,cake,yesterday,at the school,Julia ate cake yesterday at the school.
Jennifer,sandwich,last week,in the office,Jennifer ate sandwich last week in the office.
Olivia,falafel,two hours ago,at the cafe,Olivia ate falafel two hours ago at the cafe.
Lucas,biscuits,one hour ago,in the office,Lucas ate biscuits one hour ago in the office.
Hannah,steak,one hour ago,in the station,Hannah ate steak one hour ago in the station.
John,hot dog,last month,at the mall,John ate hot dog last month at the mall.
Joseph,curry,recently,in the kitchen,Joseph ate curry recently in the kitchen.
Paul,potatoes,one hour ago,at the cafe,Paul ate potatoes one hour ago at the cafe.
Thomas,pasta,last summer,in the station,Thomas ate pasta last summer in the station.
Sarah,ravioli,one hour ago,in the office,Sarah ate ravioli one hour ago in the office.
Chris,steak,last year,in the station,Chris ate steak last year in the station.
Elizabeth,biscuits,last Thursday,at the restaurant,Elizabeth ate biscuits last Thursday at the restaurant.
Julia,cereal,yesterday,in the kitchen,Julia ate cereal yesterday in the kitchen.
William,potatoes,this afternoon,in the office,William ate potatoes this afternoon in the office.
Sarah,cereal,last Wednesday,in the station,Sarah ate cereal last Wednesday in the station.
Sophie,cake,two hours ago,in the station,Sophie ate cake two hours ago in the station.
Olivia,bread,this weekend,at the restaurant,Olivia ate bread this weekend at the restaurant.
Chris,waffles,last night,at the restaurant,Chris ate waffles last night at the restaurant.
Elizabeth,wok,yesterday,at the restaurant,Elizabeth ate wok yesterday at the restaurant.
Michael,waffles,last Thursday,at the mall,Michael ate waffles last Thursday at the mall.
Sam,sandwich,last Saturday,in the kitchen,Sam ate sandwich last Saturday in the kitchen.
Sarah,falafel,this evening,in the park,Sarah ate falafel this evening in the park.
Robert,hamburger,last week,at the restaurant,Robert ate hamburger last week at the restaurant.
Mary,wok,last Wednesday,at the mall,Mary ate wok last Wednesday at the mall.
Lauren,curry,two hours ago,at the mall,Lauren ate curry two hours ago at the mall.
Lucas,cake,lately,in the garden,Lucas ate cake lately in the garden.
Chris,tacos,recently,at the cafe,Chris ate tacos recently at the cafe.
David,chicken wings,recently,in the office,David ate chicken wings recently in the office.
Olivia,curry,last spring,at the restaurant,Olivia ate curry last spring at the restaurant.
Elizabeth,omelette,this afternoon,at the restaurant,Elizabeth ate omelette this afternoon at the restaurant.
Jason,falafel,this afternoon,in the station,Jason ate falafel this afternoon in the station.
Jason,bread,this weekend,on the rooftop,Jason ate bread this weekend on the rooftop.
Ethan,doughnuts,two hours ago,in the park,Ethan ate doughnuts two hours ago in the park.
Julia,lasagna,last week,at the school,Julia ate lasagna last week at the school.
Joseph,soup,this morning,in the kitchen,Joseph ate soup this morning in the kitchen.
Mark,pizza,last Monday,at the mall,Mark ate pizza last Monday at the mall.
Lisa,noodle,last Sunday,at the cafe,Lisa ate noodle last Sunday at the cafe.
Michael,cake,last year,on the rooftop,Michael ate cake last year on the rooftop.
Sophie,biscuits,recently,on the rooftop,Sophie ate biscuits recently on the rooftop.
Ben,falafel,lately,at the restaurant,Ben ate falafel lately at the restaurant.
Daniel,banana,this evening,at the cafe,Daniel ate banana this evening at the cafe.
Daniel,lasagna,last fall,at the school,Daniel ate lasagna last fall at the school.
Paul,cake,this evening,in the office,Paul ate cake this evening in the office.
Mary,spaghetti,two hours ago,in the office,Mary ate spaghetti two hours ago in the office.
Lucas,bread,this morning,in the kitchen,Lucas ate bread this morning in the kitchen.
Lucas,beef,today,in the park,Lucas ate beef today in the park.
Jason,potatoes,this weekend,in the office,Jason ate potatoes this weekend in the office.
Joseph,banana,last winter,in the office,Joseph ate banana last winter in the office.
Sam,falafel,this weekend,in the station,Sam ate falafel this weekend in the station.
Lisa,bread,last Wednesday,at the school,Lisa ate bread last Wednesday at the school.
Mary,waffles,this weekend,in the office,Mary ate waffles this weekend in the office.
Hannah,soup,last year,at the cafe,Hannah ate soup last year at the cafe.
Sarah,bagel,last Sunday,in the office,Sarah ate bagel last Sunday in the office.
Richard,lasagna,last Sunday,in the office,Richard ate lasagna last Sunday in the office.
Chris,curry,this afternoon,in the park,Chris ate curry this afternoon in the park.
Sarah,rice,last night,in the office,Sarah ate rice last night in the office.
Anna,ravioli,last Wednesday,in the park,Anna ate ravioli last Wednesday in the park.
Lucas,rice,this evening,in the kitchen,Lucas ate rice this evening in the kitchen.
Paul,sandwich,last week,in the station,Paul ate sandwich last week in the station.
Richard,chicken wings,last month,at the cafe,Richard ate chicken wings last month at the cafe.
Emily,toast,last spring,at the restaurant,Emily ate toast last spring at the restaurant.
Michael,beef,this evening,in the park,Michael ate beef this evening in the park.
Thomas,bread,last month,in the station,Thomas ate bread last month in the station.
Claire,rice,last year,at the restaurant,Claire ate rice last year at the restaurant.
Richard,fried chicken,last Thursday,in the office,Richard ate fried chicken last Thursday in the office.
James,cake,last summer,at the cafe,James ate cake last summer at the cafe.
Michael,pancakes,this evening,in the station,Michael ate pancakes this evening in the station.
Daniel,nachos,last night,in the office,Daniel ate nachos last night in the office.
Michael,wok,this afternoon,at the school,Michael ate wok this afternoon at the school.
Rachel,tacos,this weekend,in the station,Rachel ate tacos this weekend in the station.
Mary,cake,last Friday,in the station,Mary ate cake last Friday in the station.
Alice,cheese,last summer,on the rooftop,Alice ate cheese last summer on the rooftop.
Charles,doughnuts,last Wednesday,in the garden,Charles ate doughnuts last Wednesday in the garden.
James,falafel,lately,at the restaurant,James ate falafel lately at the restaurant.
David,tacos,last Tuesday,in the station,David ate tacos last Tuesday in the station.
Ethan,toast,this weekend,at the restaurant,Ethan ate toast this weekend at the restaurant.
Emma,chicken wings,this evening,in the park,Emma ate chicken wings this evening in the park.
Mary,pancakes,last summer,in the station,Mary ate pancakes last summer in the station.
Sophie,lasagna,this evening,in the office,Sophie ate lasagna this evening in the office.
Robert,banana,last Saturday,in the park,Robert ate banana last Saturday in the park.
Jessica,sandwich,last Thursday,in the park,Jessica ate sandwich last Thursday in the park.
Karen,lasagna,last summer,at the school,Karen ate lasagna last summer at the school.
Sam,cereal,last Tuesday,at the school,Sam ate cereal last Tuesday at the school.
Julia,carbonara,this morning,at the restaurant,Julia ate carbonara this morning at the restaurant.
Karen,pancakes,last Thursday,in the garden,Karen ate pancakes last Thursday in the garden.
Lauren,soup,this evening,at the restaurant,Lauren ate soup this evening at the restaurant.
Jason,omelette,last spring,in the office,Jason ate omelette last spring in the office.
Sam,wok,last fall,in the garden,Sam ate wok last fall in the garden.
William,carbonara,last year,in the garden,William ate carbonara last year in the garden.
Kimberly,bread,one hour ago,at the cafe,Kimberly ate bread one hour ago at the cafe.
Charles,pancakes,last Friday,in the station,Charles ate pancakes last Friday in the station.
Matthew,tacos,last Thursday,in the station,Matthew ate tacos last Thursday in the station.
Anna,spaghetti,last Thursday,in the office,Anna ate spaghetti last Thursday in the office.
